STATE,LOGRECNO,GEOID,Name
US,0000001,01000US,United States
US,0000002,01001US,United States -- Urban
US,0000003,01043US,United States -- Rural
US,0000004,01089US,United States -- American Indian Reservation and Trust Land -- Federal
US,0000005,01090US,United States -- American Indian Reservation and Trust Land -- State
US,0000006,01091US,United States -- Oklahoma Tribal Statistical Area
US,0000007,01092US,United States -- Tribal Designated Statistical Area
US,0000008,01093US,United States -- Alaska Native Village Statistical Area
US,0000009,01094US,United States -- State Designated Tribal Statistical Area
US,0000010,01095US,United States -- Hawaiian Home Land
US,0000011,010A0US,United States -- In metropolitan or micropolitan statistical area
US,0000012,010C0US,United States -- In metropolitan statistical area
US,0000013,010C1US,United States -- In metropolitan statistical area -- in principal city
US,0000014,010C2US,United States -- In metropolitan statistical area -- not in principal city
US,0000015,010E0US,United States -- In micropolitan statistical area
US,0000016,010E1US,United States -- In micropolitan statistical area -- in principal city
US,0000017,010E2US,United States -- In micropolitan statistical area -- not in principal city
US,0000018,010G0US,United States -- Not in metropolitan or micropolitan statistical area
US,0000019,010H0US,United States -- Not in metropolitan statistical area
US,0000020,02000US1,Northeast Region
US,0000021,02000US2,Midwest Region
US,0000022,02000US3,South Region
US,0000023,02000US4,West Region
US,0000024,02001US1,Northeast Region -- Urban
US,0000025,02001US2,Midwest Region -- Urban
US,0000026,02001US3,South Region -- Urban
US,0000027,02001US4,West Region -- Urban
US,0000028,02043US1,Northeast Region -- Rural
US,0000029,02043US2,Midwest Region -- Rural
US,0000030,02043US3,South Region -- Rural
US,0000031,02043US4,West Region -- Rural
US,0000032,020A0US1,Northeast Region -- In metropolitan or micropolitan statistical area
US,0000033,020A0US2,Midwest Region -- In metropolitan or micropolitan statistical area
US,0000034,020A0US3,South Region -- In metropolitan or micropolitan statistical area
US,0000035,020A0US4,West Region -- In metropolitan or micropolitan statistical area
US,0000036,020C0US1,Northeast Region -- In metropolitan statistical area
US,0000037,020C0US2,Midwest Region -- In metropolitan statistical area
US,0000038,020C0US3,South Region -- In metropolitan statistical area
