"state","puma2k","cbsa","stab","cbsaname15","PUMA2kName","pop10","afact"
"FIPS state","puma2k","CBSA current as of CBSAyr","State Postal Code","2015 CBSA Name","PUMA 2K Name","Total Pop, 2010 census","puma2k to cbsa alloc factor"
"01","00100","22520","AL","Florence-Muscle Shoals, AL (Metro)","0100100",147137,1 
"01","00200","26620","AL","Huntsville, AL (Metro)","0100200",173632,1 
"01","00300","26620","AL","Huntsville, AL (Metro)","0100300",243961,1 
"01","00400","22840","AL","Fort Payne, AL (Micro)","0100400",71109,0.572 
"01","00400","42460","AL","Scottsboro, AL (Micro)","0100400",53227,0.428 
"01","00500"," ","AL"," ","0100500",24484,0.124 
"01","00500","10700","AL","Albertville, AL (Micro)","0100500",93019,0.47 
"01","00500","18980","AL","Cullman, AL (Micro)","0100500",80406,0.406 
"01","00600","19460","AL","Decatur, AL (Metro)","0100600",153829,1 
"01","00700"," ","AL"," ","0100700",108048,0.845 
"01","00700","46220","AL","Tuscaloosa, AL (Metro)","0100700",19746,0.155 
"01","00800","13820","AL","Birmingham-Hoover, AL (Metro)","0100800",207938,1 
"01","00901","13820","AL","Birmingham-Hoover, AL (Metro)","0100901",89625,1 
"01","00902","13820","AL","Birmingham-Hoover, AL (Metro)","0100902",100833,1 
"01","00903","13820","AL","Birmingham-Hoover, AL (Metro)","0100903",170157,1 
"01","00904","13820","AL","Birmingham-Hoover, AL (Metro)","0100904",187134,1 
"01","00905","13820","AL","Birmingham-Hoover, AL (Metro)","0100905",110717,1 
"01","01000","23460","AL","Gadsden, AL (Metro)","0101000",104430,1 
"01","01100"," ","AL"," ","0101100",77806,0.486 
"01","01100","11500","AL","Anniston-Oxford-Jacksonville, AL (Metro)","0101100",4,0 
"01","01100","45180","AL","Talladega-Sylacauga, AL (Micro)","0101100",82291,0.514 
"01","01200","11500","AL","Anniston-Oxford-Jacksonville, AL (Metro)","0101200",118568,1 
"01","01300","13820","AL","Birmingham-Hoover, AL (Metro)","0101300",195085,1 
"01","01400","46220","AL","Tuscaloosa, AL (Metro)","0101400",194656,1 
"01","01500"," ","AL"," ","0101500",40663,0.33 
