"state","puma2k","puma12","stab","PUMAname","PUMA2kName","pop10","afact"
"FIPS state","puma2k","puma12","State Postal Code","PUMA12 Name","PUMA 2K Name","Total Pop, 2010 census","puma2k to puma12 alloc factor"
"01","00100","00100","AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties","0100100",147137,1 
"01","00200","00200","AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)","0100200",8118,0.047 
"01","00200","00301","AL","Huntsville (North) & Madison (East) Cities","0100200",55068,0.317 
"01","00200","00302","AL","Huntsville City (Central & South)","0100200",100748,0.58 
"01","00200","00500","AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)","0100200",9698,0.056 
"01","00300","00200","AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)","0100300",163703,0.671 
"01","00300","00301","AL","Huntsville (North) & Madison (East) Cities","0100300",63856,0.262 
"01","00300","00302","AL","Huntsville City (Central & South)","0100300",774,0.003 
"01","00300","00500","AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)","0100300",15628,0.064 
"01","00400","00400","AL","DeKalb & Jackson Counties","0100400",124336,1 
"01","00500","00500","AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)","0100500",93019,0.47 
"01","00500","00700","AL","Cullman & Winston Counties","0100500",104890,0.53 
"01","00600","00600","AL","Morgan & Lawrence Counties--Decatur City","0100600",153829,1 
"01","00700","00100","AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties","0100700",39558,0.31 
"01","00700","01400","AL","Walker, Marion (South & West), Fayette & Lamar Counties","0100700",54727,0.428 
"01","00700","01500","AL","Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West)","0100700",19746,0.155 
"01","00700","01700","AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties","0100700",13763,0.108 
"01","00800","00800","AL","St. Clair & Blount Counties","0100800",140915,0.678 
"01","00800","01400","AL","Walker, Marion (South & West), Fayette & Lamar Counties","0100800",67023,0.322 
"01","00901","01302","AL","Birmingham City (East)","0100901",89623,1 
"01","00901","01303","AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities","0100901",2,0 
"01","00902","01301","AL","Birmingham City (West)","0100902",100833,1 
"01","00903","01302","AL","Birmingham City (East)","0100903",14,0 
"01","00903","01303","AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities","0100903",170143,1 
"01","00904","01302","AL","Birmingham City (East)","0100904",12461,0.067 
"01","00904","01304","AL","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities","0100904",174673,0.933 
"01","00905","01305","AL","Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities","0100905",110717,1 
"01","01000","00900","AL","Etowah County","0101000",104430,1 
"01","01100","01000","AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties","0101100",160097,1 
"01","01100","01100","AL","Calhoun County","0101100",4,0 
"01","01200","01100","AL","Calhoun County","0101200",118568,1 
"01","01300","01200","AL","Shelby County","0101300",195085,1 
"01","01400","01500","AL","Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West)","0101400",84027,0.432 
"01","01400","01600","AL","Tuscaloosa & Northport (Southeast) Cities","0101400",110629,0.568 
"01","01500","01700","AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties","0101500",123157,1 
"01","01600","01800","AL","Chilton, Tallapoosa, Chambers & Coosa Counties","0101600",130983,1 
"01","01700","01900","AL","Lee County--Auburn City","0101700",140182,1 
"01","01700","02400","AL","Russell, Pike, Barbour, Macon & Bullock Counties","0101700",2,0 
"01","01800","01800","AL","Chilton, Tallapoosa, Chambers & Coosa Counties","0101800",30,0 
"01","01800","01900","AL","Lee County--Auburn City","0101800",65,0 
"01","01800","02300","AL","Coffee, Covington, Butler & Crenshaw Counties","0101800",34853,0.176 
